"CITY","total_contributions","number_of_contributions"
"CHATSWORTH",13372,162
"SOUTH PASADENA",13297,191
"NORTHRIDGE",13047,228
"ROSS",12932,56
"WINDSOR",12834,177
"LAGUNA HILLS",12744,189
"BRENTWOOD",12716,180
"TUSTIN",12675,177
"SOQUEL",12656,158
"SAINT HELENA",12523,90
"VALLEY VILLAGE",12374,128
"BELVEDERE TIBURON",12177.5,80
"WEST HILLS",12139.5,178
"GRANITE BAY",11918,192
"WATSONVILLE",11788,201
"LAGUNA WOODS",11700.5,276
"TOPANGA",11578,148
"CLOVIS",11563,201
"YORBA LINDA",11537.5,162
"FOSTER CITY",11498,108
"EMERYVILLE",11445,175
"SAN MARINO",11295,84
"ATASCADERO",11249,190
"INDIO",10925,108
"PASO ROBLES",10881,230
"MORAGA",10785,142
"LA CANADA FLINTRIDGE",10753.5,87
"GILROY",10737,182
"SPRING VALLEY",10499,164
"MONTE SERENO",10430,77
"PALOS VERDES ESTATES",10353,127
"FOUNTAIN VALLEY",10253.5,137
"PALOMAR PARK",10100,2
"ORANGEVALE",10062,152
"FORT BRAGG",9900.5,153
"ARCATA",9724,171
"CARSON",9665,85
"CAPITOLA",9624,145
"MANTECA",9571,136
"CARPINTERIA",9514.06,139
"UKIAH",9464,173
"DALY CITY",9226,113
"LAKEWOOD",9090,146
"NIPOMO",8871,120
"GRANADA HILLS",8830.5,114
"SANTA MARIA",8801,154
"MONROVIA",8787,119
"TRACY",8758,122
"TOLUCA LAKE",8717,77
"DUBLIN",8715,119
"SAN BRUNO",8642,127
"MORRO BAY",8637.5,124
"CITRUS HEIGHTS",8598,154
"RANCHO CORDOVA",8560,149
"SIERRA MADRE",8525.5,120
"PEBBLE BEACH",8497.5,58
"MOSS BEACH",8452,67
"LA CANADA",8349,106
"MOORPARK",8349,136
"EL SEGUNDO",8343,127
"PISMO BEACH",8338,106
"LA CRESCENTA",8335,111
"ARCADIA",8255,93
"MENIFEE",8240,145
"UNION CITY",8201,132
"LOS ALAMITOS",8166,110
"BOULDER CREEK",7998,133
"GLEN ELLEN",7981,70
"PINOLE",7912,99
"EMERALD HILLS",7763.5,80
"PLAYA DEL REY",7756,86
"ALHAMBRA",7745,109
"DOWNEY",7538.5,118
"CALISTOGA",7499,100
"TRABUCO CANYON",7483,129
"STANFORD",7430,63
"MONTECITO",7342.5,44
"SANTA ROSA VALLEY",7305,31
"HACIENDA HEIGHTS",7263.5,110
"HEMET",7260.5,157
"BREA",7240,123
"FORESTVILLE",7220,93
"SOUTH SAN FRANCISCO",7068.02,101
"INGLEWOOD",7003.5,113
"SOUTH LAKE TAHOE",6953,112
"ROHNERT PARK",6950,157
"LANCASTER",6927,120
"OLYMPIC VALLEY",6785,29
"GLENDORA",6708,100
"CHINO HILLS",6705,102
"PENN VALLEY",6665,134
"ANTIOCH",6635,159
"CERRITOS",6604.89,97
"RANCHO SANTA MARGARITA",6577,116
"CARDIFF BY THE SEA",6511,85
"WESTMINSTER",6486,100
"TEMPLETON",6485,102
"ROLLING HILLS",6470,25
"GOLD RIVER",6385,93
"INDIAN WELLS",6321,71
"MOUNT SHASTA",6310,79
"OAK PARK",6290,85
"GARDEN GROVE",6240.69,102
"CANYON COUNTRY",6207.5,79
"VILLA PARK",6200,16
"LADERA RANCH",6162,84
"ALPINE",6143.5,103
"YUCAIPA",6123,110
"CLOVERDALE",6080,98
"CARDIFF",6076,121
"RANCHO MISSION VIEJO",6074,75
"CLAYTON",6052.5,97
"SOLVANG",5925,93
"LOMPOC",5899,115
"FELTON",5865,99
"NEWHALL",5815,45
"HOLLISTER",5808,92
"FONTANA",5765,87
"SONORA",5699,98
"ROLLING HILLS ESTATES",5680,64
"COTATI",5588,61
"YUBA CITY",5555,63
"WEST COVINA",5541,104
"RAMONA",5515.5,99
"HAWTHORNE",5515,88
"MARINA",5510,74
"BRISBANE",5505,42
"PORTER RANCH",5487,85
"AROMAS",5470,42
"NEWPORT COAST",5468,46
"MORENO VALLEY",5418,115
"BELVEDERE",5335,24
"TURLOCK",5269,107
"SANTEE",5245.5,85
"ONTARIO",5176,91
"MCKINLEYVILLE",5171,106
"POINT REYES STATION",5155,56
"APPLE VALLEY",5145,68
"LA VERNE",5127,82
"PARADISE",5090,58
"LODI",5063.5,95
"SAN FRANCICO",5000,1
"RIDGECREST",4978,77
"VALLEY CENTER",4963,69
"DESERT HOT SPRINGS",4953,126
"OAK VIEW",4948,59
"BONSALL",4935,55
"CYPRESS",4914,95
"PLACENTIA",4911,111
"POMONA",4893,74
"PALMDALE",4758.01,73
"COVINA",4731,61
"SEASIDE",4680,83
"WALNUT",4658,69
"RESEDA",4644,88
"SAN GABRIEL",4639,64
"BEAUMONT",4606,97
"MERCED",4605,94
"EL SOBRANTE",4591,88
"BISHOP",4582.5,59
"NORTH HILLS",4579,94
"MAMMOTH LAKES",4548,39
"LAKESIDE",4488,89
"YOUNTVILLE",4485,49
"HERCULES",4428.5,109
"SYLMAR",4380,75
"VICTORVILLE",4345,82
"SAN DIMAS",4335,76
"IDYLLWILD",4292.5,51
"BEN LOMOND",4260,73
"YUCCA VALLEY",4237,73
"TEHACHAPI",4208,67
"MONTARA",4176,46
"PLAYA VISTA",4173,63
"WINTERS",4155,60
"DIAMOND BAR",4128,61
"GARDENA",4125,70
"BANNING",4107,79
"VALLEY GLEN",4030,24
"HIGHLAND",4025,69
"ELK",3950,16
"MENDOCINO",3905,78
"SANTA PAULA",3902,58
"CANOGA PARK",3852,54
"CENTURY CITY",3850,29
"MONTEBELLO",3826,65
"EL GRANADA",3801,45
"SHINGLE SPRINGS",3760,56
"RANCHO MURIETA",3740,26
"GROVER BEACH",3737,70
"NORCO",3655,56
"MONTEREY PARK",3605,28
"BONITA",3600,62
"CAMERON PARK",3560,52
"PITTSBURG",3557,52
"CHINO",3505,56
"GUALALA",3460,59
"SUNLAND",3445,43
"CARMEL BY THE SEA",3411,35
"MADERA",3379,67
"TAHOE CITY",3315,33
"PERRIS",3294,86
"LA HABRA",3285,52
"OAKDALE",3285,32
"GUERNEVILLE",3274,78
"JAMUL",3273,49
"LA MIRADA",3230,47
"LAKE ELSINORE",3213,52
"PORT HUENEME",3206,58
"MARIPOSA",3190,73
"RIO VISTA",3175,54
"WILLITS",3138.5,61
"TUJUNGA",3126,61
"TRINIDAD",3115,41
"SUISUN CITY",3108,69
"INVERNESS",3089,46
"CRESCENT CITY",3070,61
"CAYUCOS",3057,39
"MEADOW VISTA",3045,49
"OROVILLE",3035,63
"ANTELOPE",3015,64
"IMPERIAL BEACH",2994,58
"SANTA YNEZ",2980,42
"WOODACRE",2954,51
"STEVENSON RANCH",2875,33
"SAN PABLO",2860,38
"YREKA",2834,36
"RED BLUFF",2800,27
"COARSEGOLD",2795,46
"OAKLEY",2780,34
"JURUPA VALLEY",2770,60
"LA HONDA",2755,38
"BODEGA BAY",2720,21
"JOSHUA TREE",2720,55
"COLFAX",2698,28
"WOODBRIDGE",2695,35
"NORTH TUSTIN",2685,15
"LEMON GROVE",2627,45
"VIEW PARK",2575,30
"HUNTINGTON PARK",2560,10
"BELLFLOWER",2545,46
"QUINCY",2509,40
"HIDDEN HILLS",2508,29
